Site,Habitat,Type,Code,Achillea.millefolium,Agrimonia.eupatoria,Anacamptis.pyramidalis,Anagallis.arvensis,Anemone.nemorosa,Anthyllis.vulneraria,Arais.hirsuta,Armeria.maritima,Asperula.cynanchica,Aster.tripolium,Atriplex.hastata,Bellis.perennis,Beta.vulgaris,Bunium.bulbocastanum,Calluna.vulgaris,Campanula.rotundifolia,Cardamine.flexuosa,Centaurea.nigra,Centaurium.erythraea,Cerastium.fontanum,Cirsium.arvense,Cirsium.sp,Cochlearia.anglica,Cochlearia.officinalis,Crepis.capillaris,Crepis.vesicaria,Cuscuta.epithymum,Daucus.carota,Echium.vulgare,Epilobium.montanum,Erica.cinerea,Erica.tetralix,Erodium.cicutarium,Euphorbia.amygdaloides,Euphorbia.paralias,Euphorbia.portlandica,Euphrasia.nemorosa,Euphrasia.sp,Filipendula.ulmaria,Fragaria.vesca,Frankenia.laevis,Fraxinus.excelsior,Galeopsis.angustifolia,Galium.aparine,Galium.mollugo,Galium.saxatile,Galium.verum,Geranium.columbinum,Geranium.lucidum,Geranium.molle,Geranium.robertianum,Geranium.sanguineum,Glaux.maritima,Glechoma.hederacea,Halimione.portulacoides,Helianthemum.nummularium,Hieracium.sp,Hippocrepis.comosa,Hyacinthoides.non-scripta,Hypericum.perforatum,Hypochaeris.radicata,Ilex.aquifolium,Jasione.montana,Knautia.arvensis,Lathyrus.pratensis,Leontodon.hispidus,Leontodon.saxatilis,Limonium.vulgare,Linum.catharticum,Lotus.corniculatus,Lotus.pedunculatus,Lotus.subbiflorus,Luzula.campestris,Lysimachia.nemorum,Medicago.lupulina,Melampyrum.pratense,Melilotus.officinalis,Mercurialis.perennis,Myosotis.arvensis,Myosotis.ramosissima,Oenothera.glazioviana,Ononis.repens,Oxalis.acetosella,Pedicularis.palustris,Pedicularis.sylvatica,Pilosella.officinarum,Pimpinella.saxifraga,Plantago.lanceolata,Plantago.maritima,Polygala.calcarea,Polygala.serpyllifolia,Polygala.sp,Polygala.vulgaris,Potentilla.anserina,Potentilla.erecta,Potentilla.reptans,Potentilla.sterilis,Primula.veris,Prunella.vulgaris,Prunus.spinosa,Ranunculus.acris,Ranunculus.arvensis,Ranunculus.bulbosus,Ranunculus.ficaria,Ranunculus.repens,Rhinanthus.minor,Rosa.spinosissima,Rubus.fruticosus,Rumex.acetosa,Rumex.acetosella,Salicornia.europaea,Salicornia.perennis,Sanguisorba.minor,Saxifraga.oppositifolia,Scabiosa.columbaria,Scilla.verna,Senecio.jacobaea,Silene.uniflora,Silene.vulgaris,Solanum.dulcamara,Solidago.virgaurea,Spartina.anglica,Spergularia.media,Stellaria.graminea,Stellaria.holostea,Suaeda.maritima,Succisa.pratensis,Taraxacum.agg,Teucrium.scorodonia,Thymus.polytrichus,Trifolium.arvense,Trifolium.dubium,Trifolium.pratense,Trifolium.repens,Triglochin.maritima,Ulex.europaeus,Ulex.minor,Unidentified.B,Unidentified.C,Urtica.dioica,Vaccinium.myrtillus,Valerianella.locusta,Veronica.chamaedrys,Veronica.filiformis,Veronica.montana,Veronica.officinalis,Veronica.sp,Vicia.cracca,Vicia.sativa,Viola.arvensis,Viola.canina,Viola.reichenbachiana,Viola.riviniana,Viola.tricolor
Bystock,woodland,tri,Bystock_woodland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
Chagford.Common,grassland,di,Chagford_Common_grassland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,26622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Chagford.Common,heathland,di,Chagford_Common_heathland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
Cloud.Hill,heathland,di,Cloud_Hill_heathland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cloud.Hill,woodland,di,Cloud_Hill_woodland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dartmoor,scrub,mon,Dartmoor_Scrub_scrub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48864,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,10826,48,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolebury.Warren,grassland,tri,Dolebury_Warren_grassland,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,217,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolebury.Warren,scrub,tri,Dolebury_Warren_scrub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1526,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,168,0,0,0,0,0,3,1,0
Dolebury.Warren,woodland,tri,Dolebury_Warren_woodland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Dunkery.Hill,heathland,mon,Dunkery_Hill_heathland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6689,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest.of.Dean,woodland,mon,Forest_of_Dean_woodland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haddon.Hill,heathland,tri,Haddon_Hill_heathland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0
Haddon.Hill,scrub,tri,Haddon_Hill_scrub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Haddon.Hill,woodland,tri,Haddon_Hill_woodland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hangman.Hill,grassland,tri,Hangman_Hill_grassland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
