site,rep,pl_div,pl_phyl_div,conn,int_even,FRic_occ10,FEve_occ10,FDis_occ10,FDiv_occ10,FEve_abund10,FDis_abund10,FDiv_abund10
Lytchett_Bay,4,18,1530.575,0.0716374269005848,0.531057386868632,0.00564703866953577,0.935543831462846,0.633011011549754,NA,0.839634141030039,0.613682779629479,0.759591054570862
Merthyr_Mawr,4,31,1658.674651,0.0522489777373921,0.551745241321566,0.0137543954952161,0.931052281808093,0.642473978602911,NA,0.813814079605717,0.625658744543735,NA
Oxwich_Bay,4,34,2068.185898,0.0519244734931009,0.575086288494285,0.0838962188357699,0.936862227641124,0.638369394155009,0.748797582105854,0.791059485487183,0.611429911544562,NA
Woodland_Hill,4,20,1590.090843,0.075,0.543070378294912,0.00531044527330032,0.856000175592495,0.635244108975866,NA,0.750499641604497,0.607212560028259,0.729257885373392
Woolacombe,4,31,1828.549653,0.0522071307300509,0.594666148481189,0.0855248570310311,0.945398502954663,0.634343021097176,NA,0.806695340470612,0.611281892045628,0.706475909303785
Arne,5,17,1458.395003,0.093681917211329,0.544004067458049,0.000390250547195374,0.933168572507343,0.624417051041743,NA,0.815786796240915,0.580598628705549,NA
Bystock,5,39,2413.702031,0.0398517145505097,0.533397889669937,0.0333982384698201,0.924735322604652,0.651709036912834,0.737041835614296,0.813397905793106,0.633317663861341,0.720190937206091
Dolebury_Warren,5,36,2266.579646,0.0459401709401709,0.567206229862378,0.0945123633508788,0.943637399777394,0.642418082184528,0.763623409464047,0.791727614064293,0.61793439436384,NA
Haddon_Hill,5,13,1257.345018,0.103678929765886,0.492627107878138,2.15900180928836e-05,0.886181958119383,0.629777564751957,0.765917884975819,0.80515630469417,0.593127183832048,NA
Hangman_Hill,5,25,1615.669642,0.0615384615384615,0.567999751382167,0.00875747808551636,0.94174270350115,0.62214527951759,0.742647689335575,0.800307766048056,0.597085226125916,0.703875107564966
Lytchett_Bay,5,18,1459.83999,0.0777777777777778,0.545087951449765,0.00870135743948459,0.927364771427587,0.633204283099136,0.771653195990165,0.831370626700945,0.610349596219104,0.76286350096035
Merthyr_Mawr,5,32,1976.881737,0.0557692307692308,0.570754704546001,0.00664134323679058,0.926590474618628,0.637679525699112,0.763505983155918,0.772055120797998,0.613561662565986,0.803316386472098
Oxwich_Bay,5,34,1869.842497,0.0477044476327116,0.562264410484373,0.0973480544178805,0.942162623725821,0.635957885867506,0.755154100421081,0.793687624433606,0.613110925815716,0.724603344053241
Woodland_Hill,5,16,1465.995004,0.0859375,0.533807093046879,0.00157175437034277,0.941805738202269,0.629217171067197,0.752953371005417,0.844588732871709,0.608655659712913,0.751679055993979
Woolacombe,5,31,1867.769651,0.0574596774193548,0.594166482979016,0.0321255880718796,0.963726513286022,0.625931658460061,0.780533524376554,0.825974499269589,0.59913525172485,0.732579067739405
Arne,6,16,1326.520847,0.083984375,0.551257003342983,7.08333931158699e-05,0.893624869743647,0.629016536896519,0.755804782442549,0.801325449043908,0.591613547089585,0.757279536775679
Bystock,6,41,2491.492038,0.040650406504065,0.550172574599239,0.0754124877050498,0.923016242161434,0.651494919261866,NA,0.782939757292276,0.619756991860678,0.72742311528745
