site,rep,pl_div,pl_phyl_div,conn,int_even,FRic_occ10,FEve_occ10,FDis_occ10,FDiv_occ10,FEve_abund10,FDis_abund10,FDiv_abund10
Arne,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bystock,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dolebury_Warren,1,26,1524.353753,0.061965811965812,0.586499624020678,0.0122114607455529,0.925498267201815,0.635761277749285,0.798819662518429,0.799206440120686,0.613995679507393,0.76470127279612
Haddon_Hill,1,9,766.075006,0.119047619047619,0.542466673107054,2.37486401879967e-07,0.928360844255986,0.611559827276748,0.742400268575032,0.868282069933725,0.597729015361562,0.745736825614178
Hangman_Hill,1,32,1746.99875,0.0633223684210526,0.602387522425951,0.0343151038105275,0.954711197122247,0.629036703772157,0.779505064219751,0.787360916513268,0.609175127453377,0.736666549013887
Lytchett_Bay,1,15,1176.97499,0.096,0.542131339431149,0.00179900846986838,0.95297371246715,0.599067927428216,0.749032048563294,0.81583743442123,0.57064812041026,0.73835500497865
Merthyr_Mawr,1,31,1890.790487,0.0559368565545642,0.574419768291724,0.0300935862150118,0.908316752879928,0.646131990743147,0.742269533524769,0.767864572458991,0.618835606786947,0.691796741964548
Oxwich_Bay,1,22,1188.653753,0.0707070707070707,0.582187796098518,0.00544294132263603,0.953402788096889,0.631681825437823,NA,0.836818195504815,0.615447383490999,NA
Woodland_Hill,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woolacombe,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arne,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bystock,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dolebury_Warren,2,34,2010.114462,0.0544662309368192,0.592104827157005,0.0696364459074204,0.942333544121114,0.642551052415963,0.76122356869083,0.753352028643719,0.620096671472608,0.729168084509659
Haddon_Hill,2,9,759.494997,0.138888888888889,0.609988028954365,9.90830240100116e-05,0.853782215257572,0.600286270475944,0.751673636703545,0.776323945346435,0.584650822049235,0.731691868215582
Hangman_Hill,2,30,1693.125354,0.05875,0.58746637849937,0.0749844250749018,0.927644542247178,0.636122388715986,0.74124915655825,0.772007190520264,0.602131093686181,NA
Lytchett_Bay,2,8,967.950008,0.135869565217391,0.561721144729396,0.000113953286954202,0.876543151027878,0.638347889716104,0.765545825736274,0.858014025567138,0.640875767493837,0.749136214186769
Merthyr_Mawr,2,31,1750.38049,0.0582844574780059,0.570950490105076,0.0210375091942949,0.880846213872421,0.645199317147345,NA,0.737474012917564,0.613826464927498,0.674640597683604
Oxwich_Bay,2,25,1438.169653,0.0590476190476191,0.571758430826146,0.0287301715928465,0.930821109383865,0.632777037319351,NA,0.818329244785306,0.614608312298192,NA
Woodland_Hill,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woolacombe,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arne,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bystock,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dolebury_Warren,3,29,1739.731313,0.0570455512984249,0.588125951453439,0.0953847964375596,0.931160957798671,0.635678092916979,0.753008564172521,0.772459583121862,0.605892804791237,0.692105542877556
Haddon_Hill,3,7,622.794994,0.198412698412698,0.625381715836808,1.27892517363177e-06,0.85514024290542,0.587798822929008,0.739781302643985,0.782682762301209,0.562464857634515,0.681025952210261
Hangman_Hill,3,29,1460.039644,0.0625994694960212,0.585218484251375,0.013399188422125,0.940302115413654,0.630598712787817,0.746219294746603,0.771762895613798,0.587381232400407,0.696330714817519
Lytchett_Bay,3,16,1367.974998,0.0817307692307692,0.53960127497102,0.0012936830852761,0.919628423853529,0.610379047047433,NA,0.828641627952492,0.585839806968674,0.779959614575222
Merthyr_Mawr,3,32,1622.76548,0.0563936781609195,0.571544840760736,0.0150088015554681,0.921452966622644,0.645696832786105,0.751771725128049,0.775456608345477,0.611609678011654,0.726493017750819
Oxwich_Bay,3,32,1769.175357,0.0560141509433962,0.57441410190257,0.00550189212239024,0.938803219655439,0.628875504403615,NA,0.778039421046916,0.599633214828338,NA
Woodland_Hill,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woolacombe,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arne,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bystock,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dolebury_Warren,4,28,1779.319643,0.0613006396588486,0.593293385703805,0.0600533196202638,0.932591027837738,0.631490038672891,0.745721077752785,0.802899233784528,0.593873506050087,0.665698793657856
Haddon_Hill,4,8,881.575004,0.125,0.459612798282125,1.90196312766247e-06,0.945159163653051,0.598765704301791,0.796857321565875,0.945159163653051,0.598765704301791,0.796857321565875
Hangman_Hill,4,25,1526.628748,0.0701369863013699,0.615401700996076,0.0198718002854007,0.937687445885067,0.634773412217383,0.781302150057834,0.801674328465047,0.615362420239803,0.742535886232037
Lytchett_Bay,4,8,871.950009,0.148809523809524,0.544163561820925,4.33712542833609e-05,0.880719120836963,0.625882403485653,NA,0.841230262734298,0.623222745312947,0.73323582863338
Merthyr_Mawr,4,29,1625.628754,0.0614692653673163,0.579549276789332,0.020095914904354,0.931263552646092,0.651213438260121,0.772944238626919,0.799499791124151,0.628819207387107,0.750689169397325
Oxwich_Bay,4,22,1282.369644,0.0744514106583072,0.590365889665182,0.00768758893364403,0.949239422724794,0.616832150225752,0.749966662762444,0.833792295953283,0.604082818279224,0.719781724809331
Woodland_Hill,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woolacombe,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arne,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bystock,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dolebury_Warren,5,24,1493.669643,0.0724043715846995,0.593806554346688,0.0252868746744686,0.931486387556708,0.631412261898523,0.722560330482653,0.773806707042587,0.591645558479721,0.6626875553058
Haddon_Hill,5,7,615.374994,0.223214285714286,0.642636327903156,2.857352208667e-07,0.946718137056669,0.559164510363725,0.780558058822673,0.82459328706215,0.519201058569023,0.772830527740488
Hangman_Hill,5,27,1662.042501,0.0652060511215441,0.589609824012581,0.0199954487204181,0.954001228148284,0.634372228360376,0.774403865274261,0.793133550546122,0.611725882123356,0.723463291085131
Lytchett_Bay,5,14,1160.474991,0.0971428571428571,0.545174681692319,0.00168375126630107,0.939588335548653,0.596325715015393,0.762710882640935,0.853370992366249,0.571338193487091,0.708441030692161
Merthyr_Mawr,5,33,1781.819583,0.0542929292929293,0.582194385531025,0.0258319647067163,0.920047563718768,0.648755480975104,0.777040009964224,0.786977720680941,0.629778799398913,0.749922730758463
Oxwich_Bay,5,30,1933.864471,0.0579234972677596,0.578605096515374,0.0227809770446319,0.967874917390481,0.623530271449152,0.800219797805622,0.83655993290935,0.60053626921969,0.760346600789208
Woodland_Hill,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woolacombe,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arne,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bystock,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dolebury_Warren,6,33,1932.778746,0.0498891352549889,0.572657837597938,0.0425240013130873,0.92309591009911,0.647437149132483,0.750903219555499,0.789531647325241,0.628224351495544,0.728100414471136
Haddon_Hill,6,10,932.895003,0.117391304347826,0.555145505752476,0.000508121386301048,0.915373326741998,0.615312329386893,0.765396883803897,0.841746989245453,0.597439865247311,0.762141855702881
Hangman_Hill,6,26,1552.148749,0.0666305525460455,0.598996303803595,0.0396067572462343,0.954592396085278,0.635615642860126,0.78895662625527,0.814008094190628,0.616221772668092,0.750245746544486
Lytchett_Bay,6,14,1309.475005,0.09375,0.549923881805459,0.00211160853424261,0.912887838657646,0.621850419388225,0.742360988682679,0.846259686445524,0.604966006403903,0.750944816991434
Merthyr_Mawr,6,30,1816.544651,0.062962962962963,0.576655820651377,0.0132985530126584,0.926454296591011,0.638534319770523,0.74393072849798,0.755978055115404,0.607943044623001,0.708747293550512
Oxwich_Bay,6,30,1877.469655,0.0539393939393939,0.569584615485642,0.00956509383195852,0.954735301982478,0.6197281050768,0.752883769396827,0.814737409065316,0.594951892599933,0.701994055866369
