"Site"	"Plant_Species"	"FU_Open"
"115"	"Braunton_Burrows"	"Hypericum_perforatum"	0
"116"	"Braunton_Burrows"	"Hypochaeris_radicata"	20
"117"	"Braunton_Burrows"	"Iris_foetidissima"	0
"118"	"Braunton_Burrows"	"Lamium_purpureum"	0
"119"	"Braunton_Burrows"	"Leontodon_hispidus"	2
"120"	"Braunton_Burrows"	"Leontodon_saxatilis"	3
"121"	"Braunton_Burrows"	"Limonium_vulgare"	6
"122"	"Braunton_Burrows"	"Linum_catharticum"	5
"123"	"Braunton_Burrows"	"Lotus_corniculatus"	12
"124"	"Braunton_Burrows"	"Lotus_subbiflorus"	2
"125"	"Braunton_Burrows"	"Luzula_campestris"	34
"126"	"Braunton_Burrows"	"Lythrum_salicaria"	0
"127"	"Braunton_Burrows"	"Medicago_lupulina"	8
"128"	"Braunton_Burrows"	"Melilotus_officinalis"	1638
"129"	"Braunton_Burrows"	"Mentha_aquatica"	0
"130"	"Braunton_Burrows"	"Myosotis_ramosissima"	1
"131"	"Braunton_Burrows"	"Oenothera_glasiovana"	0
"132"	"Braunton_Burrows"	"Oenothera_glazioviana"	2
"133"	"Braunton_Burrows"	"Ononis_repens"	4085
"134"	"Braunton_Burrows"	"Otanthus_maritimus"	0
"135"	"Braunton_Burrows"	"Pilosella_officinarum"	0
"136"	"Braunton_Burrows"	"Plantago_lanceolata"	6
"137"	"Braunton_Burrows"	"Polygala_serpyllifolia"	0
"138"	"Braunton_Burrows"	"Potentilla_anserina"	0
"139"	"Braunton_Burrows"	"Potentilla_reptans"	3
"140"	"Braunton_Burrows"	"Primula_vulgaris"	0
"141"	"Braunton_Burrows"	"Prunella_vulgaris"	0
"142"	"Braunton_Burrows"	"Ranunculus_acris"	0
"143"	"Braunton_Burrows"	"Ranunculus_bulbosus"	0
"144"	"Braunton_Burrows"	"Ranunculus_repens"	0
"145"	"Braunton_Burrows"	"Rhinanthus_minor"	48
"146"	"Braunton_Burrows"	"Rubus_fruiticosus"	10
"147"	"Braunton_Burrows"	"Rubus_fruticosus"	0
"148"	"Braunton_Burrows"	"Rumex_acetosa"	0
"149"	"Braunton_Burrows"	"Rumex_acetosella"	0
"150"	"Braunton_Burrows"	"Salix_caprea"	0
"151"	"Braunton_Burrows"	"Salix_repens"	0
"152"	"Braunton_Burrows"	"Sanguisorba_minor"	18
"153"	"Braunton_Burrows"	"Sedge"	0
"154"	"Braunton_Burrows"	"Sedum_acre"	0
"155"	"Braunton_Burrows"	"Senecio_crassifolius"	0
"156"	"Braunton_Burrows"	"Senecio_jacobaea"	67
"157"	"Braunton_Burrows"	"Solidago_virgaurea"	6
