site,MDT,scenario,extthrs,flexthrs,meanrob,sdrob
Braunton_Burrows,dyad,most to least common,0.25,0,0.495200710038797,0.0320159794444124
Braunton_Burrows,dyad,least to most common,0.25,0,0.577344583112857,0.0328790516975095
Braunton_Burrows,dyad,random,0.25,0,0.537538453178266,0.0411027831822472
Braunton_Burrows,dyad,most to least common,0.25,0.25,0.547393174227628,0.0311548929971286
Braunton_Burrows,dyad,least to most common,0.25,0.25,0.62176903730729,0.0305216485989197
Braunton_Burrows,dyad,random,0.25,0.25,0.588250063901334,0.039393101674627
Braunton_Burrows,dyad,most to least common,0.25,0.5,0.614818586272881,0.0259101192315488
Braunton_Burrows,dyad,least to most common,0.25,0.5,0.675611687878336,0.0255934178761155
Braunton_Burrows,dyad,random,0.25,0.5,0.648894193688233,0.0355417118289957
Braunton_Burrows,dyad,most to least common,0.25,1,0.7615770287612,0.0178134162364836
Braunton_Burrows,dyad,least to most common,0.25,1,0.79421778754361,0.013351981266959
Braunton_Burrows,dyad,random,0.25,1,0.773813584624214,0.0196671135554942
Braunton_Burrows,dyad,most to least common,0.5,0,0.471999706054513,0.0301965791017462
Braunton_Burrows,dyad,least to most common,0.5,0,0.545454533497693,0.0340024286562811
Braunton_Burrows,dyad,random,0.5,0,0.509120841145442,0.0430895770341924
Braunton_Burrows,dyad,most to least common,0.5,0.25,0.509230999602804,0.030051630658682
Braunton_Burrows,dyad,least to most common,0.5,0.25,0.583284089102453,0.031277973422579
Braunton_Burrows,dyad,random,0.5,0.25,0.551570272383094,0.0427080049803905
Braunton_Burrows,dyad,most to least common,0.5,0.5,0.570420023138475,0.0285981360346248
Braunton_Burrows,dyad,least to most common,0.5,0.5,0.636070698647979,0.0290530360924908
Braunton_Burrows,dyad,random,0.5,0.5,0.603450687191347,0.0377139047732849
Braunton_Burrows,dyad,most to least common,0.5,1,0.732846954149052,0.0169581322312837
Braunton_Burrows,dyad,least to most common,0.5,1,0.766627505136137,0.0158461729604383
Braunton_Burrows,dyad,random,0.5,1,0.747459994592291,0.0216924898438803
Braunton_Burrows,dyad,most to least common,0.75,0,0.427172201195115,0.0298727347432396
Braunton_Burrows,dyad,least to most common,0.75,0,0.506338941909746,0.0339702805911307
Braunton_Burrows,dyad,random,0.75,0,0.466473380573403,0.0413453025628491
Braunton_Burrows,dyad,most to least common,0.75,0.25,0.450933361291305,0.0300309346486976
Braunton_Burrows,dyad,least to most common,0.75,0.25,0.528690974315999,0.0345531447566232
Braunton_Burrows,dyad,random,0.75,0.25,0.489870161690982,0.0393061603554082
Braunton_Burrows,dyad,most to least common,0.75,0.5,0.497018333188626,0.0299917731921563
