Upper.Taxon	N individuals observed	Obs spp	Estimated total spp (Chao1)	Chao1 SE	Sampling completeness
Coenosia_sp._2	1	1	1	0	1
Coenosia_sp._3	1	1	1	0	1
Coenosia_sp._4	1	1	1	0	1
Coenosia_tigrina	8	6	8	2.848001248	0.75
Coenosia_verralli	6	4	4.333333333	0.901354894	0.923076923
Coenosia_vibrissata	1	1	1	0	1
Coenossinae_sp.	1	1	1	0	1
Colius_croceus	1	1	1	0	1
Colletes_fodiens	17	6	9	4.099457959	0.666666667
Colletes_succinctus	4	1	1	0	1
Cricotopus_sp._1	2	1	1	0	1
Cricotopus_sp._2	2	2	3	2.041241452	0.666666667
Crossocerus_sp.	1	1	1	0	1
Cryptinae_A	1	1	1	0	1
Cryptocephalus_aureolus	13	2	2	0	1
Cteniopus_sulphureus	22	5	6	2.198484326	0.833333333
Cupido_minimus	2	2	3	2.041241452	0.666666667
Curculio_venosus	1	1	1	0	1
Cyclophora_linearia	1	1	1	0	1
Cynipoidea_sp.__A	1	1	1	0	1
Dasusyrphus_sp.	1	1	1	0	1
Dasysyrphus_lunulatus	1	1	1	0	1
Dasysyrphus_trincinctus	1	1	1	0	1
Delia_frontella	1	1	1	0	1
Delia_linearis	11	4	5	2.167948339	0.8
Delia_platura	23	7	7.333333333	0.911640644	0.954545455
Delia_sp.	6	4	7	4.342481187	0.571428571
Dendrocerus_sp.	1	1	1	0	1
Dexiosoma_caninum	1	1	1	0	1
Dichrampha_plumbana	1	1	1	0	1
Dilophus_febrilis	9	5	5.333333333	0.906083691	0.9375
Dilophus_femoratus	10	3	3	0.204124145	1
Dilophus_humeralis	12	2	2	0	1
Dinera_carinifrons	11	1	1	0	1
Dioctria_baumhaueri	1	1	1	0	1
Diplonevra_sp._A	2	1	1	0	1
Discomyza_incurva	1	1	1	0	1
Dolerus_sp.	1	1	1	0	1
Dolichopodidae_sp.	2	2	3	2.041241452	0.666666667
Dolichopus_discifer	1	1	1	0	1
Dolichopus_notatus	1	1	1	0	1
Dolichopus_rupestris	6	2	2	0.353553391	1
Dolichovespula_saxonica	1	1	1	0	1
Drymeia_hamata	18	6	9	4.415880433	0.666666667
Empididae_sp.	2	2	3	2.041241452	0.666666667
Empididae_sp._A	6	1	1	0	1
Empis_aestiva	4	4	10	6.971370023	0.4
Empis_albinervis	1	1	1	0	1
Empis_caudatula	14	4	4	0.144337567	1
Empis_digramma	1	1	1	0	1
Empis_femorata	4	3	3.5	1.235631707	0.857142857
Empis_livida	2	2	3	2.041241452	0.666666667
Empis_nigritarsis	6	2	2	0	1
Empis_pennipes	2	2	3	2.041241452	0.666666667
Empis_praevia	1	1	1	0	1
Empis_punctata	7	2	2	0.353553391	1
Empis_sp.	3	3	6	4.28660705	0.5
Empis_tessellata	12	6	7.5	2.53968502	0.8
Empis_volucris	2	1	1	0	1
Epeolus_cruciger	1	1	1	0	1
Epirrhoe_alternata	1	1	1	0	1
